"sep=,"
ImageUrl,ListingId,StockNumber,RegistrationNumber,VehicleCategory,VehicleSubCategory,Make,Model,Variant,RegistrationYear,PriceFormatted,MileageValue,Status,LastModified,CreateDate,ListDate,Age,PriceRating
https://img.autotrader.co.za/36668268/Crop160x120,27927890,UF8937,,Cars,,Toyota,Fortuner,2.8GD-6 4x4,2018,R 449 900,115500,Active,2025/03/25 16:30:55,2025/03/07 14:04:47,2025/03/11 07:47:46,24,Fair Price
https://img.autotrader.co.za/36959586/Crop160x120,27947616,UF8935,,Cars,,Nissan,NP200,1.6i (Aircon) Safety Pack,2022,R 199 900,114000,Active,2025/03/25 16:30:18,2025/03/20 15:39:16,2025/03/20 15:39:16,11,Fair Price
https://img.autotrader.co.za/36612158/Crop160x120,27923906,UF8916,,Cars,,Ford,Ranger,2.0 Biturbo Double Cab Wildtrak 4x4,2022,R 539 900,132500,Active,2025/03/25 16:29:56,2025/03/05 14:52:55,2025/03/05 14:52:55,26,Fair Price
https://img.autotrader.co.za/35781286/Crop160x120,27864409,UF8880,,Cars,,Toyota,RAV4,2.0 GX Auto,2020,R 349 900,94000,Active,2025/03/25 16:29:14,2025/01/24 09:40:09,2025/01/24 09:40:09,66,Fair Price
https://img.autotrader.co.za/37004977/Crop160x120,27950748,UF8953,,Cars,,Volkswagen,Polo,Hatch 1.0TSI 70kW Life,2022,R 319 900,26000,Active,2025/03/24 13:51:42,2025/03/24 13:51:42,2025/03/24 13:51:42,7,Fair Price
https://img.autotrader.co.za/36750389/Crop160x120,27933741,UF8943,,Cars,,Ford,Figo,Hatch 1.5 Ambiente,2020,R 169 900,145000,Active,2025/03/21 02:01:33,2025/03/12 07:56:03,2025/03/12 07:56:03,19,High Price
https://img.autotrader.co.za/36913771/Crop160x120,27944592,UF8941,,Cars,,Ford,EcoSport,1.0T Titanium,2021,R 269 900,37000,Active,2025/03/19 09:52:50,2025/03/19 09:52:50,2025/03/19 09:52:50,12,Fair Price
https://img.autotrader.co.za/36154667/Crop160x120,27890686,UF8913,,Cars,,Ford,Ranger,2.2TDCi Double Cab 4x4 XL Auto,2020,R 389 900,140500,Active,2025/03/18 12:39:17,2025/02/11 13:59:16,2025/02/11 13:59:16,48,High Price
https://img.autotrader.co.za/36864325/Crop160x120,27935825,UF8946,,Cars,,Toyota,Land Cruiser 76,4.5D-4D LX V8 Station Wagon,2017,R 709 900,180000,Active,2025/03/17 12:08:46,2025/03/13 08:45:02,2025/03/13 08:45:02,18,No Rating
https://img.autotrader.co.za/36807091/Crop160x120,27937560,UF8945,,Cars,,Ford,Ranger,2.0Bi-Turbo Double Cab 4x4 Raptor,2021,R 649 900,83500,Active,2025/03/17 09:01:31,2025/03/14 07:53:17,2025/03/17 09:01:30,17,Fair Price
https://img.autotrader.co.za/36806977/Crop160x120,27937552,UF8943,,Cars,,Ford,Ranger,2.0 Sit Double Cab XLT 4x4,2024,R 729 900,2500,Active,2025/03/14 07:50:52,2025/03/14 07:50:37,2025/03/14 07:50:37,17,Fair Price
https://img.autotrader.co.za/36510271/Crop160x120,27935834,CON,,Cars,,Lexus,NX,300 EX,2018,R 349 900,141000,Active,2025/03/13 08:49:58,2025/03/13 08:49:58,2025/03/13 08:49:58,18,No Rating
https://img.autotrader.co.za/36483501/Crop160x120,27914595,UF8940,,Cars,,Toyota,Hilux,2.8GD-6 Double Cab 4x4 Raider Auto,2021,R 589 900,133500,Active,2025/03/05 10:19:20,2025/02/27 11:57:17,2025/02/27 11:57:17,32,Fair Price
https://img.autotrader.co.za/36598715/Crop160x120,27922955,UF8918,,Cars,,Ford,EcoSport,1.0T Titanium,2022,R 279 900,37500,Active,2025/03/05 10:17:42,2025/03/05 10:17:42,2025/03/05 10:17:42,26,Fair Price
https://img.autotrader.co.za/36510643/Crop160x120,27916448,UF8925,,Cars,,Toyota,Fortuner,2.4GD-6 Auto,2021,R 489 900,89500,Active,2025/02/28 13:26:47,2025/02/28 13:26:47,2025/02/28 13:26:47,31,Fair Price
https://img.autotrader.co.za/35284420/Crop160x120,27827055,UF8848,,Cars,,Volkswagen,T-Cross,1.0TSI 70kW Comfortline,2021,R 259 900,151500,Active,2025/02/25 14:14:56,2024/12/20 15:25:09,2024/12/20 15:25:09,101,Fair Price
https://img.autotrader.co.za/36410677/Crop160x120,27909633,UF8931,,Cars,,Ford,Ranger,2.0 Biturbo Double Cab Wildtrak,2023,R 819 900,1500,Active,2025/02/25 14:14:40,2025/02/24 14:52:22,2025/02/24 14:52:22,35,Fair Price
https://img.autotrader.co.za/35563380/Crop160x120,27833534,UF8872,,Cars,,Ford,Ranger,3.0 V6 Double Cab Wildtrak 4WD,2023,R 799 900,62500,Active,2025/02/25 14:12:36,2025/01/02 14:45:06,2025/01/02 14:45:06,88,Fair Price
https://img.autotrader.co.za/36411968/Crop160x120,27911023,UF8917,,Cars,,Ford,Ranger,2.0 Sit Double Cab XLT 4x4,2023,R 619 900,55000,Active,2025/02/25 11:26:24,2025/02/25 11:25:44,2025/02/25 11:25:44,34,Fair Price
https://img.autotrader.co.za/35880592/Crop160x120,27871394,UF8904,,Cars,,Ford,Fiesta,1.0T Trend Auto,2021,R 249 900,79500,Active,2025/02/24 08:46:41,2025/01/29 15:21:40,2025/01/29 15:21:40,61,Fair Price
https://img.autotrader.co.za/36268150/Crop160x120,27898888,UF8891,,Cars,,Ford,Ranger,2.0Bi-Turbo Double Cab 4x4 Raptor,2022,R 699 900,100000,Active,2025/02/17 12:57:34,2025/02/17 12:57:34,2025/02/17 12:57:34,42,Fair Price
https://img.autotrader.co.za/35105565/Crop160x120,27814771,UF8849,,Cars,,Toyota,Hilux,2.8GD-6 Double Cab 4x4 Raider,2017,R 469 900,133300,Active,2024/12/11 13:28:14,2024/12/11 13:28:14,2024/12/11 13:28:14,110,Fair Price
