"sep=,"
ImageUrl,ListingId,StockNumber,RegistrationNumber,VehicleCategory,VehicleSubCategory,Make,Model,Variant,RegistrationYear,PriceFormatted,MileageValue,Status,LastModified,CreateDate,ListDate,Age,PriceRating
https://img.autotrader.co.za/37135726/Crop160x120,27959563,UG5413,FCM945MP,Cars,,Nissan,NP300 Hardbody,2.5TDi Hi-Rider,2009,R 139 900,256000,Active,2025/03/31 09:14:00,2025/03/31 09:12:06,2025/03/31 09:12:06,0,No Rating
https://img.autotrader.co.za/37045379/Crop160x120,27949294,UG5412,JHP454MP,Cars,,Toyota,Hilux,2.8GD-6 Xtra cab 4x4 Raider,2017,R 369 000,243500,Active,2025/03/26 07:45:25,2025/03/22 11:31:00,2025/03/22 11:31:00,9,Fair Price
https://img.autotrader.co.za/37028563/Crop160x120,27949263,UG,KHL344MP,Cars,,Suzuki,Jimny,1.5 GLX AllGrip,2021,R 324 900,51500,Active,2025/03/25 14:45:54,2025/03/22 11:18:29,2025/03/22 11:18:29,9,Fair Price
https://img.autotrader.co.za/37028858/Crop160x120,27949277,UG1,,Cars,,Toyota,Hilux,3.0D-4D Double Cab Raider Auto,2013,R 298 900,341200,Active,2025/03/25 13:22:40,2025/03/22 11:24:34,2025/03/22 11:24:34,9,No Rating
https://img.autotrader.co.za/36984499/Crop160x120,27949306,UG5420,KNZ538MP,Cars,,Mazda,CX-5,2.0 Dynamic,2022,R 369 900,133500,Active,2025/03/22 11:36:19,2025/03/22 11:36:19,2025/03/22 11:36:19,9,Fair Price
https://img.autotrader.co.za/36973491/Crop160x120,27948507,NG5747,LBW642MP,Cars,,Mazda,Mazda2,1.5 Dynamic Manual,2024,R 269 900,22700,Active,2025/03/21 11:01:25,2025/03/21 10:59:25,2025/03/21 10:59:25,10,No Rating
https://img.autotrader.co.za/36806752/Crop160x120,27937539,UG5111,,Cars,,Mitsubishi,Pajero,5-Door 3.2DI-D GLS Exceed,2015,R 449 900,241200,Active,2025/03/21 02:03:35,2025/03/14 07:35:13,2025/03/14 07:35:13,17,High Price
https://img.autotrader.co.za/36341203/Crop160x120,27888016,UG5331,,Cars,,Ford,Ranger,2.0 Sit Single Cab XL Manual,2024,R 399 900,1500,Active,2025/03/18 13:07:10,2025/02/10 08:54:14,2025/02/10 08:54:14,49,Great Price
https://img.autotrader.co.za/35542986/Crop160x120,27846021,UG5377,,Cars,,Volkswagen,T-Roc,2.0TSI 140kW 4Motion Design,2021,R 369 900,130000,Active,2025/03/18 13:06:14,2025/01/13 16:22:12,2025/01/15 07:52:41,77,Low Price
https://img.autotrader.co.za/36575266/Crop160x120,27921257,UG5395,,Cars,,Volkswagen,Tiguan,1.4TSI 110kW,2021,R 389 900,99000,Active,2025/03/18 13:04:58,2025/03/04 13:10:45,2025/03/04 13:10:46,27,Fair Price
