SKU,Name,Published,"Regular price"
US1968,"2015 Ford Kuga 2.0 TDCi Trend AWD Auto",1,199900
UF8872,"2023 Ford Ranger 3.0D V6 Wildtrak AWD Double Cab Auto",1,819900
UA7576,"2022 Nissan Navara 2.5 DDTi LE Auto Double-Cab",1,499900
UF8848,"2021 Volkswagen T-Cross 1.0 TSI Comfortline",1,269900
UF8849,"2017 Toyota Hilux 2.8 GD-6 Raider 4x4 Double-Cab",1,469900
UF8880,"2020 Toyota RAV4 2.0 GX Auto",1,379900
US1984,"2023 Volkswagen T-Cross 1.0 TSI Comfortline Auto",1,349900
US1994,"2021 BMW 1 Series 118i Sport Line",1,449900
UF8826,"2018 Ford Ranger 3.2 TDCi XLT 4x4 Auto SuperCab",1,359900
UF8904,"2021 Ford Fiesta 1.0 Ecoboost Trend Auto 5-dr",1,259900
UA7607,"2023 Nissan NP200 1.6",1,249900
UA7604,"2021 Volkswagen Polo Vivo 1.6 Comfortline Auto 5-dr",1,249900
UA7610,"2017 Volkswagen Golf VII 1.0 TSI Comfortline",1,249900
UE2506,"2025 Suzuki S-Presso 1.0 GL+",1,199900
UF8884,"2019 Ford EcoSport 1.0 EcoBoost Trend",1,209900
UF8891,"2022 Ford Ranger 2.0D Bi-Turbo Raptor 4x4 Auto Double-Cab",1,699900
UF8913,"2020 Ford Ranger 2.2 TDCi XL 4x4 Auto Double-Cab",1,399900
UG5347,"2013 Toyota Fortuner 3.0 D-4D 4x4",1,299900
UG5359,"2014 Ford Ranger 3.2 TDCi XLT 4x4 Auto Double-Cab",1,259900
UG5371,"2018 Opel Adam 1.0T Jam",1,179900
UG5372,"2021 Mazda CX-5 2.0 Active Auto",1,364900
UG5377,"2021 Volkswagen T-Roc 2.0 TSI Design 4Motion Auto",1,399000
