"sep=,"
ImageUrl,ListingId,StockNumber,RegistrationNumber,VehicleCategory,VehicleSubCategory,Make,Model,Variant,RegistrationYear,PriceFormatted,MileageValue,Status,LastModified,CreateDate,ListDate,Age,PriceRating
https://img.autotrader.co.za/36667477/Crop160x120,27927831,UA7614,,Cars,,Nissan,Magnite,1.0 Turbo Acenta Auto,2024,R 249 900,25500,Active,2025/03/31 09:27:03,2025/03/07 13:49:20,2025/03/07 13:49:21,27,No Rating
https://img.autotrader.co.za/35959771/Crop160x120,27877172,UA7607,,Cars,,Nissan,NP200,1.6i Safety Pack,2023,R 239 900,12500,Active,2025/03/31 09:26:36,2025/02/03 12:45:19,2025/02/03 12:45:19,59,Fair Price
https://img.autotrader.co.za/36931338/Crop160x120,27945623,UA7640,,Cars,,Toyota,Hilux,2.8GD-6 Double Cab 4x4 Raider,2018,R 539 900,128500,Active,2025/03/31 09:26:07,2025/03/19 15:17:48,2025/03/19 15:17:48,15,High Price
https://img.autotrader.co.za/37116200/Crop160x120,27958272,UA7659,,Cars,,Renault,Triber,1.0 Intens,2023,R 229 900,22000,Active,2025/03/28 16:22:04,2025/03/28 16:22:04,2025/03/28 16:22:04,6,High Price
https://img.autotrader.co.za/37115536/Crop160x120,27958237,UA7645,,Cars,,Mercedes-Benz,C-Class,C200 AMG Line Auto,2016,R 359 900,133000,Active,2025/03/28 16:10:31,2025/03/28 16:10:31,2025/03/28 16:10:31,6,High Price
https://img.autotrader.co.za/36859436/Crop160x120,27940545,UA7649,,Cars,,Isuzu,D-Max,1.9TD Double Cab L 4x4,2022,R 449 900,24000,Active,2025/03/21 02:06:18,2025/03/17 09:21:48,2025/03/17 09:21:48,17,Fair Price
https://img.autotrader.co.za/36045335/Crop160x120,27882950,UA7610,,Cars,,Volkswagen,Golf,1.0TSI Comfortline,2017,R 229 900,162000,Active,2025/03/21 02:05:15,2025/02/06 07:51:11,2025/02/06 10:31:00,56,Fair Price
https://img.autotrader.co.za/35491635/Crop160x120,27842691,UA7576,,Cars,,Nissan,Navara,2.5DDTi Double Cab LE,2022,R 479 900,87000,Active,2025/03/20 15:26:10,2025/01/10 11:33:47,2025/01/10 11:33:47,83,Fair Price
https://img.autotrader.co.za/36958849/Crop160x120,27947569,UA7646,,Cars,,Volkswagen,Polo Vivo,Hatch 1.6 Comfortline Auto,2020,R 239 900,55000,Active,2025/03/20 15:22:49,2025/03/20 15:22:49,2025/03/20 15:22:49,14,Fair Price
https://img.autotrader.co.za/36932569/Crop160x120,27945698,UA,,Cars,,Toyota,Land Cruiser 300,3.3D GX-R,2022,R 1 350 000,54000,Active,2025/03/19 15:47:59,2025/03/19 15:47:59,2025/03/19 15:47:59,15,Great Price
https://img.autotrader.co.za/36931973/Crop160x120,27945652,UA7644,,Cars,,Renault,Sandero,Stepway 1.6,2020,R 189 900,180000,Active,2025/03/19 15:34:09,2025/03/19 15:34:09,2025/03/19 15:34:09,15,Fair Price
https://img.autotrader.co.za/36875735/Crop160x120,27941791,UA7633,,Cars,,Honda,CR-V,2.0 Comfort,2018,R 269 900,177000,Active,2025/03/17 16:05:34,2025/03/17 16:05:34,2025/03/17 16:05:34,17,Fair Price
https://img.autotrader.co.za/36862886/Crop160x120,27940984,UA7651,,Cars,,Nissan,Navara,2.5DDTi Double Cab PRO-2X,2024,R 599 900,30000,Active,2025/03/17 12:01:58,2025/03/17 12:01:58,2025/03/17 12:01:58,17,No Rating
https://img.autotrader.co.za/36863021/Crop160x120,27940899,UA7642,,Cars,,Nissan,Navara,2.5DDTi Double Cab PRO-4X 4x4,2023,R 629 900,45000,Active,2025/03/17 11:35:28,2025/03/17 11:35:28,2025/03/17 11:35:28,17,Fair Price
https://img.autotrader.co.za/36861927/Crop160x120,27940791,UA7647,,Cars,,Nissan,Navara,2.5DDTi Double Cab PRO-4X 4x4,2023,R 639 900,47500,Active,2025/03/17 10:56:54,2025/03/17 10:56:54,2025/03/17 10:56:54,17,Fair Price
https://img.autotrader.co.za/36581347/Crop160x120,27921634,UA7630,,Cars,,Mazda,Mazda2,1.5 Active,2019,R 189 900,110000,Active,2025/03/04 14:59:31,2025/03/04 14:59:31,2025/03/04 14:59:31,30,Fair Price
https://img.autotrader.co.za/35864590/Crop160x120,27870265,UA7604,,Cars,,Volkswagen,Polo Vivo,Hatch 1.6 Comfortline Auto,2021,R 249 900,65500,Active,2025/01/29 07:57:55,2025/01/29 07:57:55,2025/01/29 07:57:55,64,Fair Price
