"sep=,"
ImageUrl,ListingId,StockNumber,RegistrationNumber,VehicleCategory,VehicleSubCategory,Make,Model,Variant,RegistrationYear,PriceFormatted,MileageValue,Status,LastModified,CreateDate,ListDate,Age,PriceRating
https://img.autotrader.co.za/34521518/Crop160x120,27772950,UG5311,,Cars,,Toyota,Hilux,2.8GD-6 Raider Auto,2021,R 409 900,185000,Active,2025/01/06 16:13:10,2024/11/13 13:06:11,2024/11/13 13:06:11,71,No Rating
https://img.autotrader.co.za/34743845/Crop160x120,27788424,UG5331,,Cars,,Ford,Ranger,2.0 Sit Single Cab XL Manual,2024,R 419 900,250,Active,2025/01/20 13:35:04,2024/11/22 20:05:34,2024/11/22 20:05:34,61,No Rating
https://img.autotrader.co.za/34915272/Crop160x120,27800950,UG5332,,Cars,,Suzuki,Swift,1.2 GL,2024,R 229 900,2500,Active,2024/12/03 08:50:08,2024/12/03 08:50:08,2024/12/03 08:50:08,51,High Price
https://img.autotrader.co.za/34920300/Crop160x120,27801316,UG5333,,Cars,,Suzuki,Swift,1.2 GL,2024,R 229 900,1500,Active,2025/01/13 16:48:36,2024/12/03 10:41:01,2025/01/13 16:48:36,51,Fair Price
https://img.autotrader.co.za/34995094/Crop160x120,27806674,UG5318,,Cars,,Mercedes-Benz,A-Class,A200 Style auto,2015,R 229 900,163000,Active,2025/01/06 16:44:10,2024/12/05 17:23:27,2024/12/05 17:23:27,49,Fair Price
https://img.autotrader.co.za/35143144/Crop160x120,27817295,UG5347,,Cars,,Toyota,Fortuner,3.0D-4D 4x4,2013,R 319 000,273000,Active,2024/12/14 08:27:03,2024/12/12 17:02:08,2024/12/12 17:02:08,42,High Price
https://img.autotrader.co.za/35164346/Crop160x120,27818659,UG5353,,Cars,,Toyota,Land Cruiser 79,4.5d-4d V8 Double Cab LX,2016,R 749 900,180000,Active,2025/01/20 09:17:46,2024/12/13 13:57:24,2024/12/13 13:57:24,41,No Rating
https://img.autotrader.co.za/35308541/Crop160x120,27828758,UG5336,,Cars,,Toyota,Vitz,1.0 Xr Auto,2023,R 209 900,21000,Active,2024/12/23 11:31:34,2024/12/23 11:31:34,2024/12/23 11:31:34,31,Fair Price
https://img.autotrader.co.za/35308791/Crop160x120,27828770,UG5343,,Cars,,Suzuki,Swift,1.2 GL,2023,R 199 900,32000,Active,2024/12/23 11:43:44,2024/12/23 11:43:44,2024/12/23 11:43:44,31,Fair Price
https://img.autotrader.co.za/35410634/Crop160x120,27836573,UG5306,,Cars,,Toyota,Hilux,2.4GD-6 Double Cab 4x4 Raider,2022,R 469 900,132000,Active,2025/01/15 10:08:32,2025/01/06 15:47:26,2025/01/06 15:47:26,17,Fair Price
https://img.autotrader.co.za/35410634/Crop160x120,27836614,UG5307,,Cars,,Toyota,Hilux,2.4GD-6 Double Cab 4x4 Raider,2022,R 459 900,152000,Active,2025/01/15 10:06:58,2025/01/06 16:09:38,2025/01/06 16:09:38,17,Fair Price
https://img.autotrader.co.za/35411675/Crop160x120,27836639,UG5308,,Cars,,Toyota,Land Cruiser Prado,4.0 VX,2010,R 289 900,372500,Active,2025/01/11 11:26:37,2025/01/06 16:21:41,2025/01/06 16:21:41,17,No Rating
https://img.autotrader.co.za/35435691/Crop160x120,27838342,UG5364,,Cars,,Ford,Ranger,2.2TDCi 4x4 XLS Auto,2020,R 349 900,137500,Active,2025/01/13 16:47:05,2025/01/07 17:12:19,2025/01/07 17:12:19,16,No Rating
https://img.autotrader.co.za/35308148/Crop160x120,27841203,UG5313,,Cars,,Toyota,Fortuner,2.4GD-6 Auto,2019,R 419 000,98000,Active,2025/01/09 13:54:32,2025/01/09 13:54:32,2025/01/09 13:54:32,14,Fair Price
