"sep=,"
ImageUrl,ListingId,StockNumber,RegistrationNumber,VehicleCategory,VehicleSubCategory,Make,Model,Variant,RegistrationYear,PriceFormatted,MileageValue,Status,LastModified,CreateDate,ListDate,Age,PriceRating
https://img.autotrader.co.za/36213704/Crop160x120,27894901,,,Cars,,Hyundai,H-1,2.5 CRDI ELITE Auto  9-Seater,2016,R 379 000,141000,Active,2025/02/18 12:57:13,2025/02/13 15:55:54,2025/02/13 15:55:54,6,Fair Price
https://img.autotrader.co.za/34995094/Crop160x120,27806674,UG5318,,Cars,,Mercedes-Benz,A-Class,A200 Style auto,2015,R 199 900,163000,Active,2025/02/18 11:23:04,2024/12/05 17:23:27,2024/12/05 17:23:27,76,Great Price
https://img.autotrader.co.za/36046866/Crop160x120,27883058,UG5382,,Cars,,Renault,Duster,1.5dCi Dynamique 4WD,2017,R 164 900,137000,Active,2025/02/18 11:20:36,2025/02/06 08:36:56,2025/02/06 08:36:56,13,Great Price
https://img.autotrader.co.za/35690918/Crop160x120,27858079,UG5359,,Cars,,Ford,Ranger,3.2TDCi Double Cab 4x4 XLT Auto,2014,R 259 900,134000,Active,2025/02/18 11:19:58,2025/01/20 16:37:44,2025/01/20 16:37:44,30,Fair Price
https://img.autotrader.co.za/35986462/Crop160x120,27878787,UG5380,,Cars,,Toyota,Fortuner,2.5D-4D Auto,2016,R 289 000,266100,Active,2025/02/18 11:18:28,2025/02/04 09:30:42,2025/02/04 09:30:42,15,Fair Price
https://img.autotrader.co.za/35991425/Crop160x120,27879173,UG5381,,Cars,,Toyota,Fortuner,2.8GD-6 4x4 Auto,2018,R 468 900,129900,Active,2025/02/18 11:15:59,2025/02/04 11:38:51,2025/02/04 11:38:51,15,Fair Price
https://img.autotrader.co.za/36174654/Crop160x120,27888281,UG5383,,Cars,,Ford,Ranger,2.0Bi-Turbo Double Cab 4x4 Thunder,2021,R 509 000,137000,Active,2025/02/18 11:14:53,2025/02/10 11:09:23,2025/02/10 11:09:23,9,Fair Price
https://img.autotrader.co.za/36214353/Crop160x120,27894931,UG5388,,Cars,,GWM,P-Series,2.0TD Double Cab LT,2021,R 379 000,87500,Active,2025/02/18 11:14:30,2025/02/13 16:05:09,2025/02/13 16:05:09,6,Fair Price
https://img.autotrader.co.za/36116427/Crop160x120,27888041,UG5386,,Cars,,Kia,Sportage,1.6GDI Ignite,2019,R 259 000,62500,Active,2025/02/18 11:14:12,2025/02/10 09:09:05,2025/02/10 09:09:05,9,Great Price
https://img.autotrader.co.za/36081371/Crop160x120,27885463,UG5387,,Cars,,Toyota,Fortuner,3.0D-4D 4x4 Ltd Edition,2013,R 329 000,176000,Active,2025/02/18 11:13:47,2025/02/07 11:24:04,2025/02/07 11:24:04,12,No Rating
https://img.autotrader.co.za/35435691/Crop160x120,27838342,UG5364,,Cars,,Ford,Ranger,2.2TDCi 4x4 XLS Auto,2020,R 359 900,137500,Active,2025/02/17 14:31:38,2025/01/07 17:12:19,2025/01/07 17:12:19,43,High Price
