"sep=,"
ImageUrl,ListingId,StockNumber,RegistrationNumber,VehicleCategory,VehicleSubCategory,Make,Model,Variant,RegistrationYear,PriceFormatted,MileageValue,Status,LastModified,CreateDate,ListDate,Age,PriceRating
https://img.autotrader.co.za/32303525/Crop160x120,27607203,UA7458,,Cars,,Renault,Clio,66kW Turbo Authentique,2020,R 164 900,66000,Active,2025/01/14 10:43:43,2024/07/23 17:01:42,2024/07/25 15:18:18,184,Great Price
https://img.autotrader.co.za/32857322/Crop160x120,27649646,UA7485,,Cars,,Renault,Captur,66kW dCi Dynamique,2018,R 164 900,110500,Active,2025/01/14 10:46:22,2024/08/22 01:10:12,2024/08/22 01:10:12,154,Great Price
https://img.autotrader.co.za/35146628/Crop160x120,27817512,UA7372,,Cars,,Nissan,Magnite,1.0 Turbo Visia,2024,R 249 900,17615,Active,2025/01/14 10:42:22,2024/12/13 00:36:50,2024/12/13 00:36:50,41,No Rating
https://img.autotrader.co.za/32969565/Crop160x120,27817703,UA7468,,Cars,,Nissan,Micra,66kW Turbo Visia,2021,R 199 900,43100,Active,2025/01/14 08:53:50,2024/12/13 05:41:01,2024/12/13 05:41:01,41,Fair Price
https://img.autotrader.co.za/35150917/Crop160x120,27817750,UA7505,,Cars,,Nissan,Micra,84kW Turbo Acenta Plus,2019,R 174 900,118000,Active,2025/01/14 10:52:52,2024/12/13 07:23:02,2024/12/13 07:23:02,41,Great Price
https://img.autotrader.co.za/33929009/Crop160x120,27818298,UA7540,,Cars,,Nissan,TERRA,2.5DDTi XE (Auto),2022,R 389 900,137000,Active,2024/12/13 11:25:36,2024/12/13 11:25:36,2024/12/13 11:25:36,41,No Rating
https://img.autotrader.co.za/35160393/Crop160x120,27818432,UA7566,,Cars,,Suzuki,Ignis,1.2 GLX,2021,R 199 900,42300,Active,2025/01/14 11:15:22,2024/12/13 12:28:57,2025/01/14 11:15:22,41,Fair Price
https://img.autotrader.co.za/33416253/Crop160x120,27833674,UA7502,,Cars,,Hyundai,Venue,1.0T Fluid Auto,2021,R 219 900,151000,Active,2025/01/21 11:10:04,2025/01/02 16:34:08,2025/01/02 16:34:08,21,Great Price
https://img.autotrader.co.za/35488493/Crop160x120,27842289,UA7531,,Cars,,Nissan,X-Trail,1.6dCi Visia,2020,R 329 900,74000,Active,2025/01/10 08:47:42,2025/01/10 08:45:02,2025/01/10 08:46:07,13,Fair Price
https://img.autotrader.co.za/35491635/Crop160x120,27842691,UA7576,,Cars,,Nissan,Navara,2.5DDTi Double Cab LE,2022,R 499 900,87000,Active,2025/01/10 11:33:47,2025/01/10 11:33:47,2025/01/10 11:33:47,13,Fair Price
https://img.autotrader.co.za/35557061/Crop160x120,27846891,UA7491,,Cars,,Honda,HR-V,1.5 Comfort,2019,R 259 900,83500,Active,2025/01/14 10:55:27,2025/01/14 10:55:27,2025/01/14 10:55:27,9,Fair Price
https://img.autotrader.co.za/35557219/Crop160x120,27846910,UA7548,,Cars,,Volkswagen,Polo Vivo,Hatch 1.4 Trendline,2023,R 219 900,37000,Active,2025/01/14 11:05:19,2025/01/14 11:03:22,2025/01/14 11:05:19,9,Fair Price
https://img.autotrader.co.za/35557462/Crop160x120,27846921,UA7548,,Cars,,Volkswagen,Taigo,1.0TSI Style,2024,R 459 900,14600,Active,2025/01/14 11:07:40,2025/01/14 11:07:40,2025/01/14 11:07:40,9,Great Price
https://img.autotrader.co.za/35558023/Crop160x120,27846985,UA7580,,Cars,,Ford,Ranger,2.0Bi-Turbo Double Cab Hi-Rider Wildtrak,2020,R 499 900,65000,Active,2025/01/14 11:26:30,2025/01/14 11:26:30,2025/01/14 11:26:30,9,Fair Price
https://img.autotrader.co.za/35558188/Crop160x120,27846994,UA7589,,Cars,,Toyota,Fortuner,2.8GD-6 4x4 Auto,2016,R 399 900,198000,Active,2025/01/14 11:28:52,2025/01/14 11:28:52,2025/01/14 11:28:52,9,Fair Price
https://img.autotrader.co.za/35561979/Crop160x120,27847262,UA7594,,Cars,,Hyundai,Creta,1.6 Executive,2017,R 219 900,133500,Active,2025/01/21 11:36:02,2025/01/14 13:19:59,2025/01/14 13:19:59,9,Fair Price
https://img.autotrader.co.za/35673488/Crop160x120,27856823,UA7602,,Cars,,Nissan,Patrol,5.6 V8 LE 4WD,2021,R 1 160 000,12000,Active,2025/01/20 10:53:25,2025/01/20 07:35:00,2025/01/20 07:35:00,3,Fair Price
