"sep=,"
ImageUrl,ListingId,StockNumber,RegistrationNumber,VehicleCategory,VehicleSubCategory,Make,Model,Variant,RegistrationYear,PriceFormatted,MileageValue,Status,LastModified,CreateDate,ListDate,Age,PriceRating
https://img.autotrader.co.za/37051095/Crop160x120,27954009,UE2566,,Cars,,Kia,Picanto,1.0 STREET,2021,R 169 900,10500,Active,2025/03/26 10:50:56,2025/03/26 10:50:56,2025/03/26 10:50:56,1,Great Price
https://img.autotrader.co.za/37050645/Crop160x120,27953964,UE2557,,Cars,,Suzuki,Swift,1.2 GL,2024,R 209 900,4000,Active,2025/03/26 10:40:28,2025/03/26 10:38:12,2025/03/26 10:38:12,1,No Rating
https://img.autotrader.co.za/37050377/Crop160x120,27953949,UE2549,,Cars,,Suzuki,Vitara Brezza,1.5 GL S-Edition,2022,R 249 900,36000,Active,2025/03/26 10:30:08,2025/03/26 10:30:08,2025/03/26 10:30:08,1,Fair Price
https://img.autotrader.co.za/36454024/Crop160x120,27912551,UE2543,,Cars,,Nissan,Magnite,1.0 Turbo Acenta Plus,2021,R 249 900,36500,Active,2025/03/21 02:06:59,2025/02/26 10:08:25,2025/02/26 10:08:25,29,High Price
https://img.autotrader.co.za/36511028/Crop160x120,27916490,UE3544,,Cars,,Toyota,Vitz,1.0 XR Auto,2023,R 199 900,21000,Active,2025/03/21 02:06:50,2025/02/28 13:42:03,2025/02/28 13:42:25,27,Fair Price
https://img.autotrader.co.za/36952641/Crop160x120,27947107,UE2548,,Cars,,Ford,Everest,2.0SiT XLT,2020,R 479 900,71500,Active,2025/03/20 12:58:32,2025/03/20 12:58:32,2025/03/20 12:58:32,7,Fair Price
https://img.autotrader.co.za/36780847/Crop160x120,27935773,UE2555,,Cars,,Suzuki,S-Presso,1.0 GL+,2024,R 174 900,7400,Active,2025/03/13 08:05:32,2025/03/13 08:05:32,2025/03/13 08:05:32,14,Fair Price
https://img.autotrader.co.za/36780651/Crop160x120,27935760,UE2508,,Cars,,Audi,A3,Sportback 35TFSI Advanced,2022,R 499 900,47500,Active,2025/03/13 07:51:28,2025/03/13 07:51:28,2025/03/13 07:51:28,14,Fair Price
https://img.autotrader.co.za/36511258/Crop160x120,27916501,UE2534,,Cars,,Toyota,Starlet,1.4 XR Auto,2022,R 269 900,41500,Active,2025/02/28 13:48:05,2025/02/28 13:48:05,2025/02/28 13:48:05,27,Fair Price
https://img.autotrader.co.za/36015150/Crop160x120,27880817,UE2506,,Cars,,Suzuki,S-Presso,1.0 GL+,2024,R 179 900,3100,Active,2025/02/27 13:41:08,2025/02/05 07:52:30,2025/02/05 07:52:30,50,Fair Price
https://img.autotrader.co.za/36314910/Crop160x120,27902480,UE2530,,Cars,,Volkswagen,T-Cross,1.0TSI 85kW Highline,2019,R 309 900,121000,Active,2025/02/20 09:26:44,2025/02/19 11:59:39,2025/02/19 11:59:39,36,Fair Price
https://img.autotrader.co.za/36310411/Crop160x120,27777353,NE5357,,Cars,,Suzuki,Swift,1.2 GLX CVT,2025,R 289 900,2000,Active,2025/02/19 10:02:43,2024/11/15 16:20:07,2024/11/15 16:20:07,132,No Rating
https://img.autotrader.co.za/35634304/Crop160x120,27853972,UE2494,,Cars,,Mazda,CX-5,2.2DE AWD Akera,2018,R 349 900,118000,Active,2025/01/17 07:27:25,2025/01/17 07:27:25,2025/01/17 07:27:25,69,Fair Price
https://img.autotrader.co.za/34592575/Crop160x120,27777368,NE5370,,Cars,,Suzuki,S-Presso,1.0 GL+,2025,R 184 900,2000,Active,2025/01/09 13:57:46,2024/11/15 16:26:42,2024/11/15 16:26:42,132,No Rating
